ad_id,age,gender,percentage
459275364934878,35-44,male,0.081633
459275364934878,25-34,female,0.155844
459275364934878,18-24,male,0.141002
459275364934878,45-54,female,0.070501
459275364934878,25-34,male,0.120594
459275364934878,55-64,female,0.042672
459275364934878,18-24,female,0.146568
459275364934878,55-64,male,0.050093
459275364934878,35-44,female,0.06679
459275364934878,45-54,male,0.048237
459275364934878,65+,female,0.051948
459275364934878,25-34,unknown,0.001855
459275364934878,35-44,unknown,0.001855
459275364934878,45-54,unknown,0.001855
459275364934878,65+,male,0.018553
459275364934878,18-24,unknown,0
459275364934878,55-64,unknown,0
459275364934878,65+,unknown,0
698914727278176,35-44,male,0.082401
698914727278176,55-64,female,0.043189
698914727278176,65+,unknown,0.001621
698914727278176,45-54,unknown,0.002565
698914727278176,35-44,unknown,0.003677
698914727278176,55-64,unknown,0.00183
698914727278176,55-64,male,0.021071
698914727278176,65+,female,0.027464
698914727278176,45-54,male,0.044338
698914727278176,35-44,female,0.105824
698914727278176,45-54,female,0.066944
698914727278176,25-34,unknown,0.003439
698914727278176,18-24,male,0.11765
698914727278176,65+,male,0.014625
698914727278176,25-34,female,0.17518
698914727278176,25-34,male,0.167745
698914727278176,18-24,female,0.119287
698914727278176,18-24,unknown,0.001153
472089423423041,18-24,male,0.140266
472089423423041,35-44,unknown,0.004615
472089423423041,45-54,unknown,0.000897
472089423423041,25-34,unknown,0.004694
472089423423041,65+,unknown,0.000563
472089423423041,18-24,unknown,0.000536
472089423423041,65+,male,0.017063
472089423423041,35-44,male,0.087864
472089423423041,45-54,female,0.033282
472089423423041,18-24,female,0.136838
472089423423041,55-64,male,0.021573
472089423423041,65+,female,0.023208
472089423423041,25-34,female,0.188422
472089423423041,35-44,female,0.092427
472089423423041,45-54,male,0.031629
472089423423041,55-64,female,0.027533
472089423423041,25-34,male,0.188027
472089423423041,55-64,unknown,0.000563
516413565821833,18-24,female,0.164175
516413565821833,65+,female,0.044029
516413565821833,65+,unknown,0.000727
516413565821833,25-34,unknown,0.003402
516413565821833,45-54,unknown,0.00106
516413565821833,18-24,unknown,0.000353
516413565821833,55-64,unknown,0.000808
516413565821833,65+,male,0.023882
516413565821833,45-54,male,0.038881
516413565821833,35-44,male,0.085242
516413565821833,25-34,female,0.164438
516413565821833,55-64,female,0.049762
516413565821833,35-44,female,0.070626
